측정소명,측정소코드,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
중구,111121,31,27,21,22,17,12,17,12,11,14,24,22,19
종로구,111123,32,28,22,22,17,12,16,12,12,13,23,23,19
중랑구,111151,27,24,20,21,16,12,17,13,11,14,23,21,18
동대문구,111152,31,25,22,22,16,13,17,16,12,14,22,19,19
은평구,111181,28,27,25,27,22,17,18,12,11,11,19,15,19
마포구,111201,27,24,19,20,15,10,16,11,13,15,23,21,18
영등포구,111231,29,26,22,22,17,12,18,12,12,14,21,17,19
동작구,111241,31,28,22,24,19,14,19,12,14,16,24,21,20
관악구,111251,27,24,20,22,17,13,18,12,13,15,22,18,18
강남구,111261,27,23,19,21,16,12,16,12,12,14,22,18,18
금천구,111281,32,27,21,21,15,10,17,11,13,17,23,20,19
강동구,111274,31,26,22,22,16,13,15,11,10,14,23,22,19
강북구,111291,30,28,22,22,18,13,15,11,10,13,19,19,18
성북구,111161,25,23,21,21,17,14,14,10,11,14,23,20,18
용산구,111131,29,26,21,23,19,14,18,12,12,14,21,19,19
광진구,111141,29,25,21,22,16,12,17,12,11,13,21,20,18
성동구,111142,24,21,18,19,16,13,16,11,10,13,20,17,16
도봉구,111171,28,25,22,21,16,12,12,9,9,12,21,18,17
서대문구,111191,28,26,21,18,15,10,12,8,9,11,21,17,16
구로구,111221,24,24,22,22,16,9,12,7,11,13,23,17,17
서초구,111262,28,24,21,20,16,13,13,8,10,13,24,18,17
강서구,111212,27,24,20,23,16,12,19,12,13,15,23,19,18
송파구,111273,29,24,19,22,18,13,17,12,12,14,21,21,18
양천구,111301,34,29,23,22,17,11,18,15,15,16,24,20,20
노원구,111311,33,30,24,24,19,14,15,13,12,15,25,23,20
한강대로,111122,26,23,20,24,22,15,20,14,15,12,21,17,20
청계천로,111124,30,28,23,24,18,13,17,13,13,15,23,19,20
종로,111125,28,24,21,21,16,12,15,12,10,12,21,17,17
홍릉로,111154,29,26,23,25,19,15,18,14,14,16,26,22,20
신촌로,111202,29,26,22,24,19,13,19,13,14,16,25,23,20
영등포로,111232,28,25,22,23,17,13,18,13,14,17,25,20,20
도산대로,111263,30,28,24,25,19,12,14,10,12,16,25,20,19
천호대로,111275,32,27,22,22,16,13,16,11,10,14,23,20,19
강남대로,111264,31,27,25,23,18,12,13,9,12,16,25,21,19
강변북로,111143,31,28,25,24,17,12,14,9,9,14,23,22,19
화랑로,111312,29,26,21,22,19,14,16,13,11,13,21,18,19
공항대로,111213,30,26,21,23,18,14,17,12,13,16,24,20,19
동작대로,111242,27,25,21,22,18,13,18,13,14,18,27,20,20
정릉로,111162,28,27,23,24,19,14,17,14,13,15,24,21,20
시흥대로,111282,26,23,22,24,19,14,19,11,13,14,20,15,18
