항목명,설명,,
sidoName,시도 이름,,
dataTime,오염도를 측정한 시간 (연-월-일 시간 : 분),,
so2Value,아황산가스 농도(단위 : ppm),,
coValue,일산화탄소 농도(단위 : ppm),,
o3Value,오존 농도(단위 : ppm),,
no2Value,이산화질소 농도(단위 : ppm),,
pm10Value,미세먼지(PM10) 농도,,
, (단위 : ㎍/㎥),,
pm10Value24,미세먼지(PM10) 24시간예측 이동농도(단위 : ㎍/㎥),,
pm25Value,미세먼지(PM2.5) 농도 (단위 : ㎍/㎥),,
pm25Value24,미세먼지(PM2.5) 24시간예측이동농도(단위 : ㎍/㎥),,
khaiValue,통합대기환경수치,,
khaiGrade,통합대기환경지수,,
so2Grade,아황산가스 지수,,
coGrade,일산화탄소 지수,,
o3Grade,오존 지수,,
no2Grade,이산화질소 지수,,
pm10Grade,미세먼지(PM10) 24시간 등급자료,,
pm25Grade,미세먼지(PM2.5) 24시간 등급자료,,
pm10Grade1h,미세먼지(PM10) 1시간 등급자료,,
pm25Grade1h,미세먼지(PM2.5) 1시간 등급자료,,
so2Flag,"측정자료 상태정보(점검및교정,장비점검,자료이상,통신장애)",,
coFlag,"측정자료 상태정보(점검및교정,장비점검,자료이상,통신장애)",,
o3Flag,"측정자료 상태정보(점검및교정,장비점검,자료이상,통신장애)",,
no2Flag,"측정자료 상태정보(점검및교정,장비점검,자료이상,통신장애)",,
pm10Flag,"측정자료 상태정보(점검및교정,장비점검,자료이상,통신장애)",,
pm25Flag,"측정자료 상태정보(점검및교정,장비점검,자료이상,통신장애)",,
